FID,LineAbbr,LineName,tpField00,Div1,Div2,Div3,Div4,TTZeroDir,TTOneDir,tpField01,RevenueNo,DirNum0,DirNum1,tpField020,tpField021,Mode,Shape__Length
134,99,Phoenixville to Norristown TC,99,FRO, , , ,Phoenixville,Norristown Transit Center,6, ,0,1,Westbound,Eastbound,Bus,63107.853055561
135,124,Chesterbrook to 13th-Market,124,FRO, , , ,King of Prussia & Chesterbrook,13th-Market,6,SUBURBAN,0,1,Westbound,Eastbound,Bus,119346.767918077
136,127,Trenton Transit Ctr to OxfordValley,127,FRO, , , ,Trenton Transit Center,Oxford Valley Mall,6,SUBURBAN,0,1,Eastbound,Westbound,Bus,124277.85930704
137,128,Neshaminy to Oxford Valley Mall,128,FRO, , , ,Neshaminy Mall,Oxford Valley Mall,6,SUBURBAN,0,1,Southbound,Northbound,Bus,143511.175122774
138,129,Frankford-Knights to Oxford Valley,129,FRO, , , ,Frankford-Knights,Oxford Valley Mall,6,SUB,0,1,Southbound,Northbound,Bus,144532.964575272
139,130,BCCC to Frankford-Knights,130,FRO, , , ,Bucks County Community College,Frankford-Knights,6, ,0,1,Northbound,Southbound,Bus,72912.5190872712
140,131,Audubon to Norristown Transit Ctr,131,FRO, , , ,Audubon,Norristown Transportation Center,6, ,0,1,Westbound,Eastbound,Bus,33740.8760171078
141,132,Telford to Montgomery Mall,132,FRO, , , ,Telford,Montgomery Mall,6, ,0,1,Northbound,Southbound,Bus,41337.0951068788
142,133,Frankford-Knights to Bensalem,133,FRO, , , ,Bensalem,Frankford-Knights,6, ,0,1,Northbound,Southbound,Bus,13528.4965382125
143,135,West Chester TC to Coatesville,135,FRO, , , , Coatesville,West Chester Transit Center,6, ,0,1,Westbound,Eastbound,Bus,49457.3993192982
144,139,Limerick to King of Prussia,139,FRO, , , ,Limerick,King of Prussia,6, ,0,1,Westbound,Eastbound,Bus,45261.6225034365
145,150,Parx Casino to Plymouth Meeting,150,FRO, , , ,Parx Casino,Plymouth Meeting Mall,6, ,0,1,Eastbound,Westbound,Bus,92505.87434519
146,201,Ft Wash Office Ctr to Fort Wash Sta,201,FRO, , , ,Fort Washington Office Center,Fort Washington Station,6, ,0,1,Eastbound,Westbound,Bus,12213.3812889378
147,206,Commons at Great Vly to Paoli Sta,206,FRO, , , ,The Commons at Great Valley,Paoli Station,6, ,0,1,Westbound,Eastbound,Bus,20953.1666165363
148,B1,Broad Street Line Local,0,BSL, , , ,NRG Station,Fern Rock TC,0, ,0,1,Southbound,Northbound,Metro - Broad Street Line,45460.8583354303
149,B2,Broad Street Line Express,0,BSL, , , ,Walnut-Locust,Fern Rock TC,0, ,0,1,Southbound,Northbound,Metro - Broad Street Line,15655.5911175678
150,B3,Broad-Ridge Spur,0,BSL, , , ,8th St Station,Fern Rock TC,0, ,0,1,Southbound,Northbound,Metro - Broad Street Line,16983.5220795259
151,BSL,NRG Station to Fern Rock TC,0,BSL, , , ,NRG Station,Fern Rock TC,0, ,0,1,Southbound,Northbound,Metro - Broad Street Line,24511.3099640408
152,L1,Market-Frankford Line All Stops,0,MFL, , , ,Frankford TC,69th St TC,0, ,0,1,Eastbound,Westbound,Metro - Market-Frankford Line,29508.7371204628
153,MFL,Market-Frankford Line,0,MFL, , , ,Frankford TC,69th St TC,0, ,0,1,Eastbound,Westbound,Metro - Market-Frankford Line,29508.7371204628
154,103,Ardmore to 69th St Transit Center,103,VIC, , , ,Ardmore,69th Street Transportation Center,6,SUB,0,1,Northbound,Southbound,Bus,23347.2445522571
155,104,West Chester U to 69th St TC,104,VIC, , , ,West Chester University,69th Street Transportation Center,6,SUB,0,1,Westbound,Eastbound,Bus,94357.0764967209
156,105,Rosemont to 69th St Transit Center,105,VIC, , , ,Rosemont,69th Street Transportation Center,6,SUB,0,1,Westbound,Eastbound,Bus,22506.0000808303
157,106,Paoli to 69th St Transit Center,106,VIC, , , ,Ardmore & Paoli,69th Street Transportation Center,6,SUB,0,1,Westbound,Eastbound,Bus,40953.0282663148
158,107,Lawrence Park to 69th St TC,107,VIC, , , ,Lawrence Park,69th Street Transportation Center,6,SUB,0,1,Westbound,Eastbound,Bus,54399.3308524047
159,108,UPS/Airport to 69th St Transit Ctr,108,VIC, , , ,Airport & Airport Business Center,69th Street Transportation Center,6,SUB,0,1,Southbound,Northbound,Bus,51188.0192164234
160,109,Chester Transit Ctr to 69th St TC,109,VIC, , , ,Chester Transportation Center,69th Street Transportation Center,6,SUB,0,1,Westbound,Eastbound,Bus,29944.9723141612
161,110,Penn State U to 69th St Transit Ctr,110,VIC, , , ,Springfield Mall & Penn State,69th Street Transportation Center,6,SUB,0,1,Westbound,Eastbound,Bus,56104.182967103
162,111,Chadds Ford to 69th St Transit Ctr,111,VIC, , , ,Chadds Ford & Penn State,69th Street Transportation Center,6,SUB,0,1,Westbound,Eastbound,Bus,78923.9809548362
163,112,DCCC to 69th St Transit Center,112,VIC, , , ,Delaware County Community College,69th Street Transportation Center,6,SUB,0,1,Westbound,Eastbound,Bus,32975.4545803845
164,113,Claymont Sta to 69th St Transit Ctr,113,VIC, , , ,CLAYMONT TC,69th Street Transportation Center,6,SUB,0,1,Westbound,Eastbound,Bus,103124.988651944
165,114,Wawa Station to Darby Transit Ctr,114,VIC, , , ,Penn State & I-95 Industrial Park,Darby Transportation Center,6,SUB,0,1,Westbound,Eastbound,Bus,61933.9678656956
166,115,DCCC/Darby Transit Ctr to Airport,115,VIC, , , ,Delaware County Community College,Airport,6,SUB,0,1,Northbound,Southbound,Bus,70907.5378023233
167,117,Penn State U to I-95 Industrial Pk,117,VIC, , , ,Penn State,I-95 Industrial Park,6,SUB,0,1,Northbound,Southbound,Bus,42852.2038920898
168,118,Newtown Square to Chester TC,118,VIC, , , ,Newtown Square,Chester Transportation Center,6,SUB,0,1,Northbound,Southbound,Bus,36433.6070497657
169,119,Cheyney U to Chester Transit Center,119,VIC, , , ,Cheyney University,Chester Transportation Center,6,SUB,0,1,Northbound,Southbound,Bus,88814.1018478881
170,120,Cheyney U to 69th St Transit Center,120,VIC, , , ,Cheyney University,69th Street Transportation Center,6,SUB,0,1,Westbound,Eastbound,Bus,64752.5086899987
171,123,King of Prussia to 69th St TC,123,VIC, , , ,King of Prussia,69th Street Transportation Center,6,SUB,0,1,Westbound,Eastbound,Bus,84782.1879915275
172,125,Valley Forge to 13th-Market,125, VIC, , , ,King of Prussia & Valley Forge,13th-Market,6,SUB,0,1,Westbound,Eastbound,Bus,106140.598274151
173,126,Lawrence Park via Manoa to 69th TC,126,VIC, , , ,Lawrence Park,69th Street Transportation Center,6,SUB,0,1,Westbound,Eastbound,Bus,31347.4530718342
174,D1,Route 101,101,VICM, , , ,Media,69th Street Transportation Center,8,SUB,0,1,Westbound,Eastbound,Metro - Media-Sharon Hill Line,18285.2528803847
175,D1 BUS,Route 101 Bus,1014,VICM, , , , , ,6,SUB,0,1,Westbound,Eastbound,Bus,31992.3873369637
176,D2,Route 102,102,VICM, , , ,Sharon Hill,69th Street Transportation Center,8,SUB,0,1,Westbound,Eastbound,Metro - Media-Sharon Hill Line,11260.8298280867
177,D2 BUS,Route 102 Bus,1021,VICM, , , , , ,6,SUB,0,1,Westbound,Eastbound,Bus,15728.367024496
178,M,Norristown High Speed Line Local,100,VICN, , , ,Norristown Transportation Center,69th Street Transportation Center,12,SUB,0,1,Northbound,Southbound,Metro - Norristown Highspeed Line,28112.7182053513
